ShowTitle,SeasonDomainId,ShowSeasonId,NetworkDomainId
Birds Of Prey,42,7324,55
Birds Of Prey,42,9252,55
Birds Of Prey,43,9398,0
Birds Of Prey,42,9431,55
Bitches,35,567,60
Bitches,35,4196,60
Bitches,35,4197,60
Bitches,35,4198,60
Bitches,35,4199,60
Bitches,35,4200,60
Bitches,35,4201,60
Black Lightning,832,13307,75
Black Lightning,708,13311,75
Black Lightning,708,13375,75
Black Lightning,832,13396,75
Black Lightning,832,13397,75
Black Lightning,832,13434,75
Black Lightning,837,13521,75
Black Lightning,837,13590,75
Black Lightning,837,13595,75
Black Lightning,883,13710,75
Black Lightning,883,13818,75
Black Lightning,883,13851,75
Black Lightning,882,13954,75
Black Lightning,882,13989,75
Black Sash,41,1135,55
Black Sash,41,1136,55
Black Sash,42,1137,55
Black Sash,42,1138,55
Black Sash,42,1139,55
Black Sash,42,1140,55
Black Sash,41,7257,55
Black Sash,41,7258,55
Black Sash,41,7259,55
Black Sash,41,7260,55
Black Sash,41,7261,55
Black Sash,41,7262,55
Black Sash,41,7263,55
Black Sash,41,7264,55
Black Sash,41,7265,55
Black Sash,41,7266,55
Black Sash,41,7267,55
Black Sash,41,7268,55
Black Sash,41,7269,55
Black Sash,42,7270,55
Black Sash,42,7271,55
Black Sash,42,7272,55
Black Sash,42,7273,55
Black Sash,42,7274,55
Black Sash,42,7275,55
Black Sash,42,7276,55
Black Sash,42,7277,55
Black Sash,42,7278,55
Black Sash,42,7279,55
Black Sash,42,7280,55
Black Sash,42,7281,55
Black Sash,42,7282,55
Black Sash,42,7283,55
Black Sash,42,7284,55
Black Sash,42,7285,55
Black Sash,42,7286,55
Black Sash,42,7287,55
Black Sash,42,7288,55
Black Sash,42,7289,55
Black Sash,42,7290,55
Black Sash,42,7291,55
Black Sash,42,7292,55
Black Sash,42,7293,55
Black Sash,42,7294,55
Black Sash,42,7295,55
Black Sash,42,7296,55
Black Sash,42,7297,55
Black Sash,42,9248,55
Black Sash,42,9249,55
Black Sash,42,9250,55
Black Sash,43,9399,55
Black Sash,42,9432,0
Black Sash,42,12341,55
Black Sash,43,12554,67
Blade Squad,47,9298,62
Bless Yer Heart,883,13749,52
Bless Yer Heart,837,13750,52
Blindspot,652,12910,54
Blindspot,617,12913,54
Blindspot,617,12956,54
Blindspot,652,12997,54
Blindspot,652,13031,54
Blindspot,708,13103,54
Blindspot,708,13186,54
Blindspot,832,13341,54
Blindspot,832,13432,54
Blindspot,837,13492,54
Blindspot,837,13528,54
Blindspot,883,13529,54
Blindspot,883,13530,54
Blindspot,883,13531,54
Blindspot,837,13620,54
Blindspot,883,13817,54
Blindspot,883,13848,54
Bliss,43,691,54
Bliss,43,4879,54
Bliss,43,4880,54
Bliss,43,4881,54
Bliss,43,4882,54
